Date,Close
1/2/2015,18.15
1/5/2015,17.92
1/6/2015,17.51
1/7/2015,17.21
1/8/2015,17.29
1/9/2015,17.35
1/12/2015,17.26
1/13/2015,17.39
1/14/2015,17.2
1/15/2015,17.17
1/16/2015,17.27
1/20/2015,17.22
1/21/2015,17.17
1/22/2015,17.69
1/23/2015,17.77
1/26/2015,17.55
1/27/2015,17.36
1/28/2015,17.01
1/29/2015,17.09
1/30/2015,16.8
2/2/2015,17.4
2/3/2015,18.17
2/4/2015,18.48
2/5/2015,18.62
2/6/2015,18.68
2/9/2015,18.47
2/10/2015,18.6
2/11/2015,18.72
2/12/2015,18.8
2/13/2015,18.91
2/17/2015,18.9
2/18/2015,18.96
2/19/2015,19.07
2/20/2015,19.06
2/23/2015,19.15
2/24/2015,19.17
2/25/2015,19.22
2/26/2015,19.34
2/27/2015,19.3
3/2/2015,19.48
3/3/2015,19.35
3/4/2015,19.32
3/5/2015,19.91
3/6/2015,19.95
3/9/2015,20.21
3/10/2015,20.51
3/11/2015,21.23
3/12/2015,21.36
3/13/2015,21.62
3/16/2015,21.58
3/17/2015,21.78
3/18/2015,21.85
3/19/2015,21.83
3/20/2015,22.12
3/23/2015,22.27
3/24/2015,22.85
3/25/2015,22.92
3/26/2015,22.82
3/27/2015,22.92
3/30/2015,23.06
3/31/2015,23.19
4/1/2015,23.01
4/2/2015,22.92
4/6/2015,23.05
4/7/2015,22.9
4/8/2015,22.97
4/9/2015,22.76
4/10/2015,21.55
4/13/2015,21.33
4/14/2015,21.39
4/15/2015,20.88
4/16/2015,20.74
4/17/2015,20.48
4/20/2015,20.39
4/21/2015,20.54
4/22/2015,20.77
4/23/2015,20.85
4/24/2015,20.8
4/27/2015,22.3
4/28/2015,20.7
4/29/2015,20.31
4/30/2015,19.66
5/1/2015,20.03
5/4/2015,19.94
5/5/2015,19.3
5/6/2015,19.47
5/7/2015,20.17
5/8/2015,20.34
5/11/2015,20.5
5/12/2015,20.43
5/13/2015,20.51
5/14/2015,21.04
5/15/2015,21.01
5/18/2015,21.17
5/19/2015,21.01
5/20/2015,21.1
5/21/2015,21.1
5/22/2015,20.72
5/26/2015,20.8
5/27/2015,20.89
5/28/2015,21.01
5/29/2015,20.75
6/1/2015,20.59
6/2/2015,20.58
6/3/2015,20.95
6/4/2015,20.76
6/5/2015,20.55
6/8/2015,20.24
6/9/2015,20.05
6/10/2015,20.72
6/11/2015,21.04
6/12/2015,20.22
6/15/2015,20.6
6/16/2015,20.84
6/17/2015,20.62
6/18/2015,20.81
6/19/2015,21.13
6/22/2015,21.32
6/23/2015,21.3
6/24/2015,21.04
6/25/2015,21.14
6/26/2015,21.04
6/29/2015,20.66
6/30/2015,20.61
7/1/2015,21.01
7/2/2015,20.8
7/6/2015,20.82
7/7/2015,20.73
7/8/2015,20.54
7/9/2015,20.87
7/10/2015,21.22
7/13/2015,22.84
7/14/2015,23.78
7/15/2015,24.05
7/16/2015,24.27
7/17/2015,24.24
7/20/2015,23.92
7/21/2015,23.82
7/22/2015,23.71
7/23/2015,23.2
7/24/2015,22.79
7/27/2015,23.14
7/28/2015,23.35
7/29/2015,23.2
7/30/2015,22.64
7/31/2015,23.41
8/3/2015,23.33
8/4/2015,23.13
8/5/2015,22.85
8/6/2015,22.83
8/7/2015,22.53
8/10/2015,22.59
8/11/2015,22.27
8/12/2015,22.38
8/13/2015,22.45
8/14/2015,22.55
8/17/2015,22.64
8/18/2015,22.18
8/19/2015,21.77
8/20/2015,21.18
8/21/2015,20.62
8/24/2015,20.15
8/25/2015,19.98
8/26/2015,20.21
8/27/2015,20.61
8/28/2015,20.6
8/31/2015,20.57
9/1/2015,20.02
9/2/2015,20.43
9/3/2015,20.38
9/4/2015,20.18
9/8/2015,20.71
9/9/2015,22.77
9/10/2015,22.3
9/11/2015,21.5
9/14/2015,21.18
9/15/2015,21.3
9/16/2015,20.72
9/17/2015,20.62
9/18/2015,19.77
9/21/2015,19.85
9/22/2015,19.43
9/23/2015,17.55
9/24/2015,17.44
9/25/2015,16.7
9/28/2015,16.05
9/29/2015,16.08
9/30/2015,16.18
